G文件,环网柜序号,矩形框XML ID,环网柜名称,环网柜类型,类型识别来源,图内文字类型,devref类型,类型交叉校验,柜型校验状态,柜型交叉校验说明,是否智能,智能标识,状态,说明,数据库记录数,数据库是否唯一,环网柜ID,G图设备数,数据库唯一匹配设备数,环网柜设备是否完整,已正确关联设备数,未关联设备数,关联错误设备数,RMU可关联,RMU级关联阻断原因,设备级阻断原因,G图元匹配问题,数据库匹配问题
JED-NTH-ABH.sln.pic.g,153,2002474,33368,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578486,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,154,2001069,29800,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578347,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,155,2001211,33364,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625954,8,8,YES,8,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,156,2000800,29797,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578345,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,157,2000850,40227,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578247,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,158,2002468,18585,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625900,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,159,2000540,17756,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578436,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,160,2000390,29719,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578225,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,161,2000250,22840,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625906,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,162,2000203,20134,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578220,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,163,2000469,19670,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625901,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,164,2000208,25879,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578387,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,165,2002452,30882,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578334,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,166,2002460,33015,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578354,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,167,2001895,39089,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578431,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,168,2002470,35150,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625970,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,169,2001988,39088,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578430,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,170,2000674,30829,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578325,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,171,2000205,17417,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578278,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,172,2000744,33375,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578496,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,173,2000275,33862,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625967,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,174,2000565,33431,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578511,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,175,2000303,33429,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578509,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,176,2000098,38305,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578361,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,177,2000430,38230,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625977,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,178,2000679,30904,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,SMART,SMR,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625941,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,179,2001100,33004,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578353,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,180,2002444,26766,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578255,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,181,2000831,29798,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578346,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,182,2001142,33366,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578484,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,183,2001082,33367,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625955,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,184,2000210,24521,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578438,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,185,2001011,40467,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625987,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,186,2000281,34116,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578242,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,187,2000349,29905,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625926,7,7,YES,7,0,0,YES,,,,
